"","mean occupancy","sd occupancy","q025","q5","q975","diff"
"Amauronematus fallax",0.209445135309776,0.249311648154073,0.00202005567285111,0.08963632713205,0.862272624378114,0.860252568705263
"Anacharis eucharoides",0.284913551499308,0.254190921045574,0.0188339309042223,0.187825690258097,0.911096323866215,0.892262392961993
"Ancylis sp. BOLD:ACE7743",0.207683777190309,0.252354336346218,0.00233206806122577,0.0914342948002348,0.90170547824711,0.899373410185884
"Anthomyza pengellyi",0.29032334657698,0.258621426010828,0.0201534328112275,0.198483717366946,0.912135051172377,0.89198161836115
"Anticlea vasiliata",0.167875604625839,0.214247153231235,0.00197778935225564,0.0769694481366219,0.817952137590679,0.815974348238423
"Aperileptus infuscatus",0.2540569840745,0.243189292306544,0.0265485719832298,0.148759805964916,0.908480222768397,0.881931650785167
"Aperileptus sp. jft05",0.189012633085097,0.232289138494798,0.00205288413313007,0.0866903429545965,0.871006469047228,0.868953584914098
"Aphididae sp. SlikokOtu2151",0.19249871704531,0.242855278025227,0.0019198029710974,0.0798733469143405,0.881649731101776,0.879729928130679
"Aphidius ervi",0.486224975199079,0.253674020269702,0.108887888039761,0.445391384507918,0.970303621336245,0.861415733296484
"Aphidius salicis",0.30088991210318,0.265312673797183,0.0199872876080417,0.202489716044708,0.93724889613672,0.917261608528679
"Aphidius sp. BOLD:ABX6188",0.254542082590975,0.257904402975324,0.0143385627314675,0.141953278152462,0.913228286285339,0.898889723553872
"Aphidius sp. cf. schimitscheki",0.273834220942846,0.250774786979567,0.0174851573872375,0.174838439733632,0.896811940448431,0.879326783061194
"Araneus marmoreus",0.296563772615968,0.265820661872948,0.0174699919711117,0.196455552034473,0.935162090253274,0.917692098282162
"Araneus trifolium",0.204637931076616,0.249768543606539,0.00188138252487556,0.0875523872638834,0.891867230650508,0.889985848125633
"Araneus yukon",0.291288860723951,0.262625750517096,0.0178419661769384,0.190139229460319,0.930034301320558,0.912192335143619
"Araniella displicata",0.313829542131621,0.252988555856903,0.0310794228419754,0.226972495922427,0.923889368619277,0.892809945777301
"Araniella proxima",0.289355460410329,0.255692900390279,0.0174007819376556,0.201552582203033,0.910452735749193,0.893051953811538
"Arganthomyza duplex",0.532721761765974,0.239461849362403,0.14548520541697,0.513284319708945,0.968540204722593,0.823054999305623
"Argyresthia sp. ABKWR035-07",0.209733962965043,0.26093253804843,0.00209241245350497,0.0866662827247996,0.919618524929933,0.917526112476428
"Atractodes alpestris",0.216539111608582,0.259957094843497,0.00159770617376311,0.0948657048841758,0.904531141644744,0.902933435470981
"Atractodes sp. jft03",0.331179483929585,0.2586465406839,0.0375082257915011,0.243113907041172,0.930081409639889,0.892573183848388
"Atrichopogon sp. BOLD:AAG6519",0.287301435016465,0.255540417919044,0.0191651290295521,0.197808924791279,0.917436062194179,0.898270933164627
"Atrichopogon sp. BOLD:AAG6543",0.316448940454929,0.272761328281877,0.016144492426963,0.218647254474203,0.934924455278798,0.918779962851834
"Attulus striatus",0.22117205512724,0.229367833453274,0.0119822609979647,0.126013997211095,0.86526721477576,0.853284953777795
"Baccha elongata",0.191835138404237,0.238222869047271,0.00194411815824811,0.0821591768188309,0.853149446674251,0.851205328516003
"Baeosciara scotica",0.216931659459809,0.236112615382805,0.00999998346811521,0.115504637197205,0.871215284169423,0.861215300701308
"Baeosciara sp. SlikokOtu1554",0.238695504747809,0.248322734203033,0.0109085956272544,0.128871059990661,0.905677980331075,0.894769384703821
"Baeosciara sp. SlikokOtu1805",0.229899391078075,0.240960803426351,0.0126678373024769,0.126431614275433,0.873592389433715,0.860924552131238
"Balclutha rhenana",0.125282821189306,0.132402676383103,0.019723080084541,0.0896603277608346,0.553759552791126,0.534036472706585
"Balclutha sp. BOLD:AAG8963",0.249460882966735,0.259354741320417,0.0118298607129923,0.132522958932531,0.93047332495518,0.918643464242187
"Balclutha sp. SlikokOtu1082",0.201578658072257,0.245346545751034,0.00235044305053065,0.0873414095927258,0.872781471681425,0.870431028630894
"Balclutha sp. SlikokOtu1195",0.192044178145694,0.235429289711463,0.00199611875588617,0.0874236806782665,0.879766838678202,0.877770719922316
"Balclutha sp. SlikokOtu1671",0.198567447283981,0.243922018048228,0.00250268488309862,0.0855970023735303,0.855454803516926,0.852952118633827
"Balclutha sp. SlikokOtu2029",0.200347408535737,0.242958243552148,0.0024082766025972,0.0864792289172027,0.887873248591705,0.885464971989108
"Balclutha sp. SlikokOtu2183",0.187999672388058,0.227875454077044,0.00165361106848117,0.0844293241215171,0.824913899134434,0.823260288065953
"Balclutha sp. SlikokOtu603",0.176690106771679,0.227534686195621,0.00186515377008008,0.0715849997781201,0.84528252159187,0.84341736782179
"Batrachedra praeangusta",0.29373338238573,0.256517723759962,0.0168204041191553,0.201458397895376,0.920194396183026,0.90337399206387
"Bdellidae sp. SlikokOtu1455",0.321058058384402,0.252890856338081,0.0358946509300738,0.232783066246233,0.920141902757677,0.884247251827603
"Bdelloidea sp. SlikokOtu1837",0.181247317336731,0.226796508862956,0.0019192682354597,0.0808549665180803,0.860646280087283,0.858727011851823
"Bdelloidea sp. SlikokOtu2063",0.199589102639804,0.23560214180237,0.00226839967307403,0.0954905900026985,0.858498843182256,0.856230443509182
"Belytinae sp. BOLD:AAJ8196",0.289974406708121,0.252368635017575,0.0168395589413321,0.197802547809909,0.90154314971237,0.884703590771038
"Beris fuscipes",0.195210906860264,0.238857791723523,0.0022265407190338,0.0906992026219917,0.897180045253254,0.894953504534221
"Betulaphis quadrituberculata",0.196410469699402,0.246440144882834,0.00211260505455587,0.0851921330138582,0.895531161524563,0.893418556470007
"Bibionidae sp. SlikokOtu1348",0.220511885481171,0.257252026262505,0.00275409231511312,0.100157236694706,0.890091981718451,0.887337889403338
"Boernerina occidentalis",0.232736081735034,0.156470279066899,0.0634796415557107,0.190621086024707,0.680853238428416,0.617373596872706
"Boletina arctica",0.190284346109742,0.233558453802624,0.00222472273445248,0.0861937054679283,0.858699639461888,0.856474916727435
"Boletina dissipata",0.190518417073458,0.247833791350481,0.00180558891955392,0.0771679251808499,0.895318984347979,0.893513395428425
"Boletina nitiduloides",0.209604336155278,0.250756277808343,0.0019808478983281,0.0939587451152462,0.894452790736472,0.892471942838143
"Boletina onegensis",0.208731907587561,0.248900753549791,0.0029274213507819,0.0982245624103101,0.90793918568615,0.905011764335368
"Boletina sp. BOLD:AAM8972",0.272747113634391,0.240432308089853,0.019513120132287,0.190571464944832,0.881174646695077,0.86166152656279
"Boletina sp. SlikokOtu2170",0.231511979050923,0.267313261347172,0.00210335037078689,0.105170327066408,0.907788722428474,0.905685372057687
"Bolitophila acuta",0.184595780012354,0.170282147924141,0.0253853811604869,0.128912967939635,0.709720443965443,0.684335062804956
"Bolitophila austriaca",0.207719386178275,0.245769768833208,0.00220838120807802,0.0925062307427373,0.866460433586904,0.864252052378826
"Bolitophila hybrida",0.198022612913093,0.241211393870851,0.00213431895506258,0.0880890242764647,0.87282579808768,0.870691479132618
"Bolitophila sp. BOLD:AAV0668",0.248214157825048,0.253535673287449,0.0133544362094368,0.135841968576009,0.904923410864913,0.891568974655477
"Bolitophila sp. SlikokOtu156",0.228756663832598,0.260283096171925,0.00257954319480686,0.109192261257206,0.904001191533267,0.90142164833846
"Bolitophila sp. SlikokOtu1896",0.172149210502179,0.220035525409776,0.00198639299618907,0.0759673450735519,0.840299335877135,0.838312942880946
"Bolitophila sp. SlikokOtu2109",0.194509477214226,0.244323126158797,0.00227227531963432,0.0804477501305792,0.870689042618615,0.868416767298981
"Bolitophila sp. SlikokOtu2141",0.197672521733481,0.242444558852012,0.00247114555957132,0.0897840053844908,0.889918542751537,0.887447397191966
"Bolitophilidae sp. BOLD:ACY4787",0.192901801148661,0.236695856460733,0.00176407125242971,0.0871442898892935,0.855527202658518,0.853763131406088
"Bombus mixtus",0.21838971364255,0.253673189602077,0.00266954429016706,0.107825658099105,0.881035183064624,0.878365638774457
"Boreodromia bicolor",0.284409499004234,0.259126210906607,0.0145896254623687,0.186014815208577,0.925159716202576,0.910570090740208
"Botanophila hucketti",0.210831646404518,0.250940800568284,0.00232999980266045,0.0928045871413944,0.889455566904885,0.887125567102225
"Brachypogon sp. BOLD:ACB3015",0.20886968551753,0.251297728129649,0.00237699672894847,0.092209563212835,0.88551102842498,0.883134031696032
"Braconidae sp. SlikokOtu1649",0.305642231514282,0.267461410078689,0.0212202486944132,0.210559897629298,0.929589830263404,0.908369581568991
"Braconidae sp. SlikokOtu637",0.290562143718207,0.258229219442378,0.0180737156405795,0.191691799553826,0.928669036537372,0.910595320896792
"Bradysia forcipulata",0.184492617511717,0.230708392116759,0.00179903403449462,0.0790580943435087,0.857202314263965,0.85540328022947
"Bradysia hilaris",0.508138698989129,0.200225527943432,0.206296356340698,0.473832989681143,0.938351751293126,0.732055394952428
"Bradysia sp. BOLD:AAH4026",0.214595370919488,0.255466262374923,0.00185649941865911,0.103282103900934,0.914892670279454,0.913036170860795
"Bradysia sp. BOLD:ACB0034",0.303450996268896,0.263836934888503,0.0181082242353133,0.219819636055276,0.927561447886559,0.909453223651245
"Bradysia vernalis",0.183848752985466,0.224164280984223,0.00182075427963873,0.0871381771156226,0.83778628753817,0.835965533258532
"Brevicornu sp. BOLD:AAM8961",0.286780708372244,0.255762584790972,0.0140297641044553,0.196319953186938,0.900614304289772,0.886584540185317
"Brevicornu sp. BOLD:AAP6488",0.29623185300168,0.258064091892103,0.018382906710994,0.20068754305814,0.921715916241423,0.903333009530429
"Brevicornu sp. BOLD:ACC4362",0.170020866539131,0.215013473245626,0.00174728178065824,0.0762736970151665,0.806189357810782,0.804442076030124
"Brevicornu sp. BOLD:ACI5637",0.509037477669621,0.248716307731175,0.123624136480896,0.480809354963529,0.963848327840626,0.84022419135973
"Cacopsylla myrtilli",0.638019601668957,0.165797640511378,0.352768133220544,0.62187457180246,0.96187678831876,0.609108655098216
"Cacopsylla sp. DPsitchSB_08",0.322112362409427,0.255406598212637,0.0340998756060658,0.238164675798512,0.929378694063681,0.895278818457616
"Calliphora terraenovae",0.289210855244307,0.255620378665557,0.0182863227485579,0.198205682885444,0.929446330680011,0.911160007931453
"Callomyia proxima",0.292534682242243,0.259666936329299,0.019280530885031,0.193699376229736,0.90963525079606,0.890354719911029
"Caloptilia suberinella",0.376781827178957,0.258822932802201,0.0439949388931686,0.315977867651597,0.942716060013149,0.89872112111998
"Camisia biurus",0.175750718773981,0.222563419165834,0.00213678023306859,0.0776833210852367,0.816507667010356,0.814370886777288
"Campaea perlata",0.309083972271361,0.264482108136093,0.0177957545288735,0.210238386689668,0.918569626474928,0.900773871946054
"Campopleginae sp. BOLD:AAN7592",0.209280053698709,0.249090034181867,0.00297577011585007,0.0942749635093561,0.870385815797699,0.867410045681849
"Camptochaeta hirtula",0.195791448658934,0.239372540774899,0.0020792309014843,0.0879701197300454,0.852484012856612,0.850404781955128
"Camptochaeta sp. SlikokOtu394",0.204766199020358,0.249522243536879,0.00238721172355712,0.0885017950394751,0.894851735649283,0.892464523925726
"Camptochaeta sp. SlikokOtu445",0.205967714937707,0.253155743728014,0.002041729259132,0.0864316564983754,0.892926301644499,0.890884572385367
"Camptochaeta sp. SlikokOtu449",0.202918889648622,0.256178907417645,0.00210645740619422,0.0831014212023746,0.918453874454384,0.916347417048189
"Camptochaeta sp. SlikokOtu456",0.208773938716984,0.254085264349098,0.00208740581738371,0.0919168806463644,0.89078217158079,0.888694765763406
"Camptochaeta sp. SlikokOtu650",0.187888762642897,0.23273338935278,0.00201959836017715,0.0817197092890786,0.847526426299919,0.845506827939742
"Canalidion montanum",0.229025073129786,0.247117071399007,0.0115371801576379,0.120753116808371,0.919260547985497,0.907723367827859
"Caricea erythrocera",0.0931337198491835,0.106498744368892,0.00816016201696264,0.0620197798843649,0.416333092666711,0.408172930649748
"Carsia sororiata",0.186950483457889,0.237111586685374,0.0016156556538225,0.0793368246010768,0.868560711212781,0.866945055558958
"Cecidomyiidae sp. BOLD:AAQ0659",0.203287176377695,0.240765312022347,0.00233322032417436,0.0948783036915333,0.860027573642758,0.857694353318583
"Cecidomyiidae sp. BOLD:AAQ0660",0.295810306225554,0.255396442427989,0.0201486097966283,0.205852773394147,0.914038685313824,0.893890075517196
"Cecidomyiidae sp. BOLD:ABA0854",0.178266704169348,0.22741281036244,0.00259142236336898,0.0772912448671726,0.85327040714768,0.850678984784311
"Cecidomyiidae sp. BOLD:ABA6509",0.248133330703692,0.260019508435441,0.011880467881678,0.136928471883305,0.93540303250757,0.923522564625892
"Cecidomyiidae sp. BOLD:ABW8062",0.283430324758336,0.256287697920024,0.018644554241613,0.187549524839644,0.916019644849294,0.897375090607681
"Cecidomyiidae sp. BOLD:ACB2757",0.191168079436876,0.235927452663513,0.00286890024874221,0.0871760567546228,0.86794337332129,0.865074473072547
"Cecidomyiidae sp. BOLD:ACB9195",0.192232818595835,0.240537152853228,0.00202226273657073,0.0800683851280691,0.870733817642067,0.868711554905496
"Cecidomyiidae sp. BOLD:ACC1750",0.181656322164238,0.229632906157862,0.00215442578464162,0.0788899620102608,0.857784338778627,0.855629912993985
"Cecidomyiidae sp. BOLD:ACD0553",0.284423344999139,0.253199770236588,0.0172777633295283,0.194721262093308,0.904887927198942,0.887610163869414
"Cecidomyiidae sp. BOLD:ACG6216",0.235412469478306,0.267981360154167,0.00220390803561778,0.110310196464304,0.89337475280136,0.891170844765742
"Cecidomyiidae sp. BOLD:ACH4316",0.205614275391367,0.253277788654522,0.00239746658907093,0.0891062152255099,0.900007659349614,0.897610192760543
"Cecidomyiidae sp. BOLD:ACI2971",0.192818350711394,0.230488152596136,0.0022938491822042,0.0928636877953314,0.846090685902168,0.843796836719963
"Cecidomyiidae sp. BOLD:ACI6840",0.38853449313299,0.26497574415174,0.0444259061658745,0.322655648521345,0.947037643454949,0.902611737289074
"Cecidomyiidae sp. BOLD:ACK3029",0.188455018129314,0.236136651063013,0.00208757506155275,0.080520284235163,0.865207900459894,0.863120325398342
"Cecidomyiidae sp. BOLD:ACM9927",0.302031279973033,0.262782157022622,0.0199206138508693,0.210703539459669,0.918449026623621,0.898528412772752
"Cecidomyiidae sp. BOLD:ACZ4244",0.296735083712399,0.256529694824288,0.0188575094682956,0.210260749760835,0.908331144255061,0.889473634786765
"Cecidomyiidae sp. BOLD:ADM5490",0.28690352725964,0.255364696398862,0.0161855751598734,0.191313696827061,0.898043857726501,0.881858282566628
"Cecidomyiidae sp. SlikokOtu1169",0.199351926136223,0.237170073942918,0.00254882543372885,0.0954813785199811,0.856601556015285,0.854052730581556
"Cecidomyiidae sp. SlikokOtu196",0.197546417370611,0.242865193946876,0.00264335031312529,0.0815631664296107,0.874327756297421,0.871684405984295
"Cephalops sp. BOLD:AAG1658",0.284686275013716,0.253511075255727,0.018063582395125,0.189535959852929,0.911756932848444,0.893693350453319
"Cepheus sp. BOLD:AAD2517",0.220229676024871,0.241049915846709,0.0120275290823162,0.118689113647261,0.890301902658089,0.878274373575773
"Ceraticelus fissiceps",0.357686476383026,0.172485399278027,0.137510071425216,0.311488808881575,0.811124640228494,0.673614568803278
"Ceratopogonidae sp. BOLD:ACY4529",0.207165717101264,0.248856374467992,0.00209178751912028,0.0947650085757361,0.908802735341612,0.906710947822492
"Chaitophorus neglectus",0.195537878973546,0.241724031002709,0.00206685638746791,0.0841424035045552,0.861610364999753,0.859543508612285
"Chaitophorus populifolii",0.315556129407042,0.270334200291792,0.0178526351490329,0.225455476651038,0.938194188888773,0.92034155373974
"Chalarus decorus",0.469989069067314,0.249116818312606,0.101315298862486,0.427655656116306,0.963028742291345,0.861713443428859
"Chalarus sp. BOLD:ACK3338",0.335158902368795,0.261985109320708,0.033001811554033,0.248756467069365,0.930109664478361,0.897107852924328
"Chamaemyia geniculata",0.204984414971518,0.245237171312016,0.00196158866112814,0.0945624433692277,0.887205023152447,0.885243434491318
"Chamaemyia paludosa",0.197579457761644,0.244298480116129,0.00302072784484789,0.085359846498715,0.887123629014007,0.884102901169159
"Chironomidae sp. BOLD:AAM6264",0.440530304844191,0.195985350212588,0.169563389261349,0.394097655934255,0.922124790502112,0.752561401240762
"Chironomidae sp. BOLD:AAN5352",0.288603878778017,0.264380383114558,0.0155548957692858,0.194198047951551,0.929290300680465,0.913735404911179
"Chironomidae sp. BOLD:ACU6068",0.304524468727242,0.266294555401146,0.0177531196057159,0.209935932549384,0.945471844504804,0.927718724899088
"Chironomidae sp. BOLD:ADD0660",0.209030769036297,0.248710945951569,0.00189598201759823,0.0965253843486689,0.895401438641814,0.893505456624216
"Chironomidae sp. BOLD:ADR7982",0.206403662739733,0.250045672619418,0.00269185055198448,0.0888696665336912,0.902961782461865,0.90026993190988
"Chironomidae sp. SlikokOtu1314",0.344649294234557,0.270783096768626,0.0368520505550989,0.257922934745035,0.952679346057655,0.915827295502556
"Chironomidae sp. SlikokOtu1335",0.290557888597029,0.258106052149135,0.0162708844954207,0.196554318193568,0.911092258412498,0.894821373917077
"Chironomidae sp. SlikokOtu2161",0.221167413746832,0.258819612859978,0.00277203957709704,0.106346089528815,0.904276153023335,0.901504113446238
"Chironomidae sp. SlikokOtu270",0.294187701087639,0.263277340847566,0.0199200561101033,0.197034479795524,0.927533381108866,0.907613324998763
"Chironominae sp. BOLD:AAL7346",0.212870896616544,0.25738615200043,0.00209818346158416,0.0940871702792124,0.901707964981973,0.899609781520389
"Chironominae sp. BOLD:ACC3042",0.18343084575716,0.228801752890432,0.00198813862384796,0.0854413064405229,0.85162396134915,0.849635822725302
"Chironominae sp. BOLD:ACC9013",0.147487690713709,0.0796480001522396,0.0467720086017755,0.134690074270552,0.344438802537295,0.29766679393552
"Chironominae sp. BOLD:ACI3437",0.302596617705418,0.26468761460862,0.016607812417241,0.211562395765535,0.926036625806037,0.909428813388796
"Chironomus maturus",0.202116609556869,0.247966649451122,0.00233395108819528,0.0890628526001145,0.902022696538737,0.899688745450542
"Chironomus sp. BOLD:AAC0594",0.306064881942599,0.250957909044841,0.0351845797495538,0.209045289035677,0.920896295538811,0.885711715789257
"Chironomus sp. BOLD:AAL7315",0.2004082932706,0.247092649064613,0.0020576680465229,0.0840882155214787,0.895857601332775,0.893799933286252
"Chironomus sp. BOLD:AAZ0144",0.200948621120968,0.243330345288317,0.00196277259644806,0.0897190535200736,0.880904866746225,0.878942094149777
"Chironomus sp. BOLD:ACM6478",0.243116936903211,0.25367290001166,0.0122261658592578,0.13075482574071,0.896295150057201,0.884068984197943
"Chironomus sp. SlikokOtu861",0.230015826214238,0.235112016107396,0.0130640936483909,0.133371133069415,0.873150251195734,0.860086157547343
"Chlamydatus pulicarius",0.235635974678337,0.249014157739446,0.0112230222441008,0.127501214498498,0.89147808374315,0.880255061499049
"Chlorops sp. TAW4",0.239797110906471,0.246487070336258,0.013189829832824,0.133043922255273,0.905008524123848,0.891818694291024
"Choeras sp. jft31",0.219644352505912,0.235142359229382,0.012856226818126,0.122677295450493,0.883750013616769,0.870893786798643
"Cicadellidae sp. BOLD:ACV3364",0.287688220328242,0.253347657210406,0.0181448154141161,0.198490003236774,0.912258798003465,0.894113982589348
"Cicadellidae sp. nr. Ophiola decumana",0.462378523514699,0.25233996284146,0.0982969648550485,0.415030781373008,0.960704093919961,0.862407129064913
"Cicadellidae sp. SlikokOtu2257",0.299403756108724,0.261974608129787,0.017239855463289,0.201464791487677,0.919398752559772,0.902158897096483
"Cicadellidae sp. SlikokOtu2259",0.295067378707384,0.25532646072196,0.0197135482843346,0.206569535827106,0.915035582686551,0.895322034402217
"Cicadellidae sp. SlikokOtu2268",0.293577195748178,0.25893972650957,0.0183627090113301,0.201495380714232,0.900081080991613,0.881718371980283
"Cicadellidae sp. SlikokOtu2269",0.309974482852294,0.268847756187732,0.0159790695929968,0.216655866074827,0.93366555654416,0.917686486951163
"Cicadellidae sp. SlikokOtu2339",0.285621488312626,0.256599417654868,0.0188756382440987,0.190758145441025,0.929267198186557,0.910391559942458
"Cicadula intermedia",0.312110089663944,0.27124964698303,0.0166371586533226,0.21409764804301,0.930192722061995,0.913555563408672
"Cicadula sp. BOLD:ACI5705",0.397548146596064,0.256166528701603,0.0621625769414779,0.339116104180534,0.950439386138215,0.888276809196738
"Cicadula sp. SlikokOtu2252",0.301242707040751,0.268791335901816,0.0174612870752635,0.201380730221586,0.935532346855824,0.91807105978056
"Cicadula sp. SlikokOtu2260",0.328849434298465,0.271777967958548,0.020203943127147,0.2440835830054,0.944511217497946,0.924307274370799
"Cicadula subcupraea",0.236373818316754,0.24599243872859,0.0131992258750932,0.131802159741507,0.904443869665136,0.891244643790043
"Cinara fornacula",0.175178453850803,0.124270073673728,0.0503957829105465,0.143771287959256,0.55592027518696,0.505524492276413
"Cinara mariana",0.363479765360162,0.233357031457474,0.0847019165443306,0.284081565331326,0.915285753646969,0.830583837102638
"Cinara nimbata",0.184283147788523,0.225156523857372,0.00209581609749405,0.0812273476721013,0.802185925489606,0.800090109392112
"Cinara obscura",0.20260997021199,0.247056766192206,0.00219809976581954,0.0894644529186603,0.893156884483081,0.890958784717261
"Cinara pruinosa",0.101867997013582,0.130779414569605,0.00974415159767657,0.0640604246490678,0.51164369016369,0.501899538566014
"Cinara sp. CHR155",0.199758807045608,0.246395735937386,0.00237185346876114,0.088196387132856,0.889871441827356,0.887499588358595
"Cinara sp. SlikokOtu1765",0.300455267918628,0.26480528785863,0.0191267767098407,0.201568777344476,0.927386795593736,0.908260018883895
"Cinara sp. SlikokOtu2233",0.286427134956682,0.255723627070613,0.0176001493232956,0.190737940462394,0.91359734831711,0.895997198993815
"Cixius meridionalis",0.287397200514767,0.152238393177375,0.0986796921686093,0.250485387656704,0.690641839419013,0.591962147250403
"Cladara limitaria",0.221628220544949,0.260031464356856,0.0027013228762716,0.100606011155044,0.911194152886769,0.908492830010498
"Claustropyga acanthostyla",0.225712108351669,0.232387423791418,0.0134917409524156,0.1244260201161,0.860669793432816,0.8471780524804
"Clinohelea sp. BOLD:AAG6451",0.202708669898816,0.247330393332379,0.0022459379901533,0.0915170875901246,0.909553090743242,0.907307152753088
"Clubiona furcata",0.294561612458057,0.262577523242063,0.0182227241779607,0.197682194582682,0.923055845993937,0.904833121815976
"Clubiona kulczynskii",0.225791292237965,0.240290547175825,0.0124945847935148,0.122074696403184,0.887393555678087,0.874898970884572
"Clubiona riparia",0.192701527289657,0.244906145615723,0.00216880152196215,0.0801243089476508,0.883644374868222,0.88147557334626
"Clusiodes melanostomus",0.199724706360322,0.250249367158263,0.0017908780131557,0.0820203328883635,0.892653793224048,0.890862915210893
"Coelosia gracilis",0.279204334839127,0.206756425026564,0.0459012861263103,0.211254424151458,0.83992436804269,0.79402308191638
"Coenosia campestris",0.432687430477786,0.248749112177815,0.0846573703058667,0.380158044877036,0.955282960045711,0.870625589739844
"Coenosia conforma",0.399251264816621,0.226527953762553,0.105000470704784,0.339204983353243,0.929777599848953,0.824777129144169
"Coenosia impunctata",0.473965343045707,0.248361011430438,0.104213481463085,0.441069161757012,0.952743154234818,0.848529672771734
"Coenosia mollicula",0.335301367156042,0.260321103638465,0.0391301208089786,0.248023689902008,0.927976175678408,0.888846054869429
"Coenosia morrisoni",0.296971164066388,0.265534098684953,0.0193946445144726,0.194080865399397,0.93500135694792,0.915606712433447
"Coenosia sp. SlikokOtu2038",0.219459667818763,0.258149194625218,0.00242301345077895,0.102690876940316,0.911978191975987,0.909555178525208
"Coleophora canadensisella",0.201474257490414,0.242090250824614,0.00232614089609099,0.0890415722579425,0.859403472769459,0.857077331873368
"Coleophora glitzella",0.188928360452347,0.232055877255955,0.00222812111598274,0.0844262276577919,0.860013912903019,0.857785791787037
"Columella sp. BOLD:ABV1789",0.519305958255825,0.235639498281817,0.158538557932833,0.483574597026893,0.963562542368623,0.80502398443579
"Conchapelopia americana",0.212652780390035,0.24853090511442,0.00218203540249524,0.100979244962892,0.873506354111887,0.871324318709392
