"","mean occ diff","sd mean occ diff","q025","q5","q975","diff"
"Baeosciara scotica",0.0129515985144898,0.336143867173935,-0.723157756975729,0.0199187000034026,0.780983305486709,1.50414106246244
"Baeosciara sp. SlikokOtu1554",0.0352564736578756,0.354615942945485,-0.773400230425112,0.0328468658915684,0.795473956829047,1.56887418725416
"Baeosciara sp. SlikokOtu1805",0.0100411498442723,0.362651188914594,-0.772058133588906,0.024492749348674,0.780210389114964,1.55226852270387
"Balclutha rhenana",-0.0620850842693515,0.270481711933563,-0.764774367994559,0.0076292771837909,0.404468085668428,1.16924245366299
"Balclutha sp. BOLD:AAG8963",-0.334826738048219,0.300881215310316,-0.815631931755915,-0.390037413327875,0.387046298799362,1.20267823055528
"Balclutha sp. SlikokOtu1082",0.0226548906993844,0.286422301332466,-0.556337323482219,-0.0244429681505959,0.720813460640623,1.27715078412284
"Balclutha sp. SlikokOtu1195",0.0962409172593854,0.259580675188768,-0.33134101018757,0.0193762348948628,0.804584517905663,1.13592552809323
"Balclutha sp. SlikokOtu1671",-0.0880443981160095,0.353896396506444,-0.841789529080568,-0.0669926715804484,0.689179995912375,1.53096952499294
"Balclutha sp. SlikokOtu2029",-0.0824543496259232,0.354196248985066,-0.827344229975559,-0.0620494369297918,0.687970923049404,1.51531515302496
"Balclutha sp. SlikokOtu2183",-0.104191764677275,0.337635014309507,-0.806529399080317,-0.0813066839415178,0.618423470136766,1.42495286921708
"Balclutha sp. SlikokOtu603",-0.193806035324977,0.29065143395305,-0.757671219470888,-0.226980742626863,0.516864254859456,1.27453547433034
"Batrachedra praeangusta",0.0977942332045483,0.331121315231405,-0.659315188300526,0.0835313401330345,0.784942568217189,1.44425775651772
"Bdellidae sp. SlikokOtu1455",0.137936795371619,0.339974551453373,-0.599298344634667,0.119392255647763,0.843686486705758,1.44298483134043
"Bdelloidea sp. SlikokOtu1837",-0.0358612673029243,0.325269954475346,-0.776167193109142,-0.0276769022156944,0.727158288841687,1.50332548195083
"Bdelloidea sp. SlikokOtu2063",-0.0372920596739291,0.333858249705316,-0.77618350777997,-0.0301477068550036,0.697837258222988,1.47402076600296
"Belytinae sp. BOLD:AAJ8196",0.0863574645703636,0.360923618665183,-0.732319679197347,0.0753403972671694,0.804283749264513,1.53660342846186
"Beris fuscipes",-0.102351668810508,0.355731108885298,-0.838910543617654,-0.0792009417340436,0.720097631443764,1.55900817506142
"Betulaphis quadrituberculata",-0.166146054913085,0.359151890526468,-0.876574567999256,-0.147279135920371,0.640052814607125,1.51662738260638
"Bibionidae sp. SlikokOtu1348",-0.153767878847584,0.372012082684732,-0.854286802542172,-0.136447484434555,0.63408881209082,1.48837561463299
"Boernerina occidentalis",-0.209417492664233,0.295030196637062,-0.797436870228179,-0.1776992280818,0.380361512376645,1.17779838260482
"Boletina arctica",-0.10829818808406,0.349942777659633,-0.842859741729547,-0.0836438608446062,0.664471790745832,1.50733153247538
"Boletina dissipata",-0.0354894330045222,0.335610183120216,-0.744321395254035,-0.0293318626787746,0.738135167332256,1.48245656258629
"Boletina nitiduloides",-0.0905668584360494,0.35203611485974,-0.812085048819451,-0.0717019254072981,0.702990022271104,1.51507507109056
"Boletina onegensis",-0.0823494793339132,0.357360953560582,-0.818764337870689,-0.0615227233818183,0.718786065190839,1.53755040306153
"Boletina sp. BOLD:AAM8972",0.0552319634727706,0.348366196207545,-0.747333956928179,0.0592327077986365,0.781101637963456,1.52843559489163
"Boletina sp. SlikokOtu2170",-0.0649278358826279,0.375052317411496,-0.827731542216685,-0.0599835995352955,0.74636607254212,1.5740976147588
"Bolitophila acuta",-0.111399969746461,0.311716114771907,-0.781962929089851,-0.0563069796341603,0.500172422553187,1.28213535164304
"Bolitophila austriaca",-0.110355524484611,0.361733333428087,-0.855612314706386,-0.0928166040995641,0.665786109503227,1.52139842420961
"Bolitophila hybrida",-0.0306555464677073,0.341260543284668,-0.80521857341725,-0.0248306036620107,0.723545662317958,1.52876423573521
"Bolitophila sp. BOLD:AAV0668",-0.150239536005104,0.303474765067282,-0.673992117005013,-0.194922496196772,0.548172064795695,1.22216418180071
"Bolitophila sp. SlikokOtu156",-0.0764748570531358,0.36968046236972,-0.824352408181891,-0.0684263365461783,0.735039390708156,1.55939179889005
"Bolitophila sp. SlikokOtu1896",-0.0473612848377403,0.319482524522693,-0.758932225224236,-0.0303532016022491,0.672556821618667,1.4314890468429
"Bolitophila sp. SlikokOtu2109",-0.127508618427967,0.379037110579561,-0.877747793631962,-0.101317309348967,0.697536173316341,1.5752839669483
"Bolitophila sp. SlikokOtu2141",-0.00740948755935121,0.32729064072078,-0.731947821872228,-0.0186535063060082,0.730946236666852,1.46289405853908
"Bolitophilidae sp. BOLD:ACY4787",-0.245597322047934,0.336476617988047,-0.874831698903875,-0.234036394289704,0.496134990415961,1.37096668931984
"Bombus mixtus",0.00534137252629779,0.349027973764187,-0.764121601338759,-0.00960556672712957,0.783487575531005,1.54760917686976
"Boreodromia bicolor",0.092545066194602,0.35468380867906,-0.664157111960736,0.0690034170288248,0.825564099489587,1.48972121145032
"Botanophila hucketti",-0.00424979419861878,0.324856448211535,-0.708780582087034,-0.0177943832276392,0.744941887632624,1.45372246971966
"Brachypogon sp. BOLD:ACB3015",-0.0220423275289463,0.345692520139597,-0.747451131855421,-0.0250978642309019,0.755596554994012,1.50304768684943
"Braconidae sp. SlikokOtu1649",0.0885247826561828,0.369371774693481,-0.705946758251532,0.0710156929910487,0.840687834841915,1.54663459309345
"Braconidae sp. SlikokOtu637",0.0806406482718666,0.362221812893243,-0.757529801400336,0.066121587711655,0.803316243671204,1.56084604507154
"Bradysia forcipulata",-0.161111336026533,0.37288335250763,-0.894837089586765,-0.113486822526828,0.623037298497395,1.51787438808416
"Bradysia hilaris",0.32455349887627,0.313449727757305,-0.422536632112587,0.344806053769196,0.882157170224389,1.30469380233698
"Bradysia sp. BOLD:AAH4026",-0.220327562583221,0.312480099231414,-0.792579834970648,-0.246970087582238,0.525626598628041,1.31820643359869
"Bradysia sp. BOLD:ACB0034",0.119418073151508,0.3498186660465,-0.649612931454343,0.0940609656882266,0.833160389613257,1.4827733210676
"Bradysia vernalis",-0.0231039628210196,0.323367828174292,-0.742767997367535,-0.023255972173978,0.720621493132602,1.46338949050014
"Brevicornu sp. BOLD:AAM8961",0.000237318072662534,0.366245257698472,-0.760436131292962,-0.00474324993003168,0.753173028246861,1.51360915953982
"Brevicornu sp. BOLD:AAP6488",0.0906790077956852,0.358669223738149,-0.66448937791287,0.0761856093999036,0.844810104992413,1.50929948290528
"Brevicornu sp. BOLD:ACC4362",-0.148675423612749,0.347268553957834,-0.84687104552785,-0.111697322226482,0.593270684540467,1.44014173006832
"Brevicornu sp. BOLD:ACI5637",0.287573896801953,0.35787682307149,-0.508027569755462,0.299548692718259,0.899874079330094,1.40790164908556
"Cacopsylla myrtilli",0.424926369159122,0.281605841884343,-0.241478916962805,0.459309473452341,0.875898028787486,1.11737694575029
"Cacopsylla sp. DPsitchSB_08",0.121828502092786,0.352309646890766,-0.668286571659862,0.107506995400322,0.820691920769879,1.48897849242974
"Calliphora terraenovae",0.0951210219257619,0.350569311639445,-0.661758148203025,0.0734899167753676,0.815457653318061,1.47721580152109
"Callomyia proxima",0.0842639203910716,0.366213217650285,-0.741194231546005,0.0736259711251094,0.803059692169889,1.54425392371589
"Caloptilia suberinella",0.18067884658344,0.358224866088905,-0.639803333489443,0.164495821206038,0.849662699871941,1.48946603336138
"Camisia biurus",-0.117216491295205,0.34848227633856,-0.862991217834594,-0.0768038518409614,0.645940827370158,1.50893204520475
"Campaea perlata",0.132863696998533,0.360742602833605,-0.691400577444143,0.0986236888647644,0.837573935790503,1.52897451323465
"Campopleginae sp. BOLD:AAN7592",-0.0129052223961685,0.351556995321482,-0.804817018462629,-0.0180510576901943,0.744483188579365,1.54930020704199
"Camptochaeta hirtula",-0.382427087167609,0.330114557006562,-0.909702409640663,-0.405791423073157,0.397148815504983,1.30685122514565
"Camptochaeta sp. SlikokOtu394",-0.0676954707825825,0.346793705478287,-0.818643319171648,-0.0592835230739455,0.705861732609308,1.52450505178096
"Camptochaeta sp. SlikokOtu445",-0.104467582214495,0.367543003138744,-0.831053328166843,-0.0920738894650851,0.72253473390209,1.55358806206893
"Camptochaeta sp. SlikokOtu449",-0.078910749014826,0.359036329371057,-0.809585244776958,-0.0665904163878659,0.737713133545178,1.54729837832214
"Camptochaeta sp. SlikokOtu456",-0.0920549471732346,0.359385837409076,-0.806867965407587,-0.0816479045555656,0.682910754992252,1.48977872039984
"Camptochaeta sp. SlikokOtu650",-0.0989884522227392,0.347339376930493,-0.800172693790394,-0.0846432300468184,0.682755724013108,1.4829284178035
"Canalidion montanum",-0.239202379926709,0.354637021136268,-0.868480806165272,-0.24186680283602,0.573047194392441,1.44152800055771
"Caricea erythrocera",-0.117195413845171,0.27938526218955,-0.830115420936543,-0.0249066322136074,0.320867159883741,1.15098258082028
"Carsia sororiata",-0.0200637500140853,0.328082371774958,-0.73358612109072,-0.0275901568485258,0.731373223397337,1.46495934448806
"Cecidomyiidae sp. BOLD:AAQ0659",-0.0217195372174453,0.327304981610881,-0.75891497361661,-0.0360322481292921,0.725595768692132,1.48451074230874
"Cecidomyiidae sp. BOLD:AAQ0660",0.0987097780766766,0.35411892730102,-0.700149390827029,0.0791460120998352,0.825198298338365,1.52534768916539
"Cecidomyiidae sp. BOLD:ABA0854",-0.0368474085127225,0.313578008266628,-0.787875011343782,-0.0267868352768904,0.659279296309567,1.44715430765335
"Cecidomyiidae sp. BOLD:ABA6509",0.0324917138075462,0.363145450801466,-0.747694802124896,0.0240175032993986,0.828959314914875,1.57665411703977
"Cecidomyiidae sp. BOLD:ABW8062",0.0584072030181956,0.367983633222082,-0.7706047884145,0.0529418110541222,0.794449809238545,1.56505459765304
"Cecidomyiidae sp. BOLD:ACB2757",-0.100163246272148,0.347908300293179,-0.823710380325816,-0.0652078335811935,0.697094229726792,1.52080461005261
"Cecidomyiidae sp. BOLD:ACB9195",-0.227621664735087,0.342576636616772,-0.861748021276078,-0.219824958930334,0.557731961065862,1.41947998234194
"Cecidomyiidae sp. BOLD:ACC1750",-0.138087024141606,0.356782602119484,-0.858831998622082,-0.114493484906492,0.621434168959718,1.4802661675818
"Cecidomyiidae sp. BOLD:ACD0553",0.0797027035701519,0.355856808277627,-0.716988399134137,0.0631116423649445,0.803577749055532,1.52056614818967
"Cecidomyiidae sp. BOLD:ACG6216",-0.0725303804393007,0.371811354190651,-0.809777257055459,-0.0706387710659865,0.730014368948605,1.53979162600406
"Cecidomyiidae sp. BOLD:ACH4316",-0.0969333000974812,0.350330916976886,-0.83810826685004,-0.0745267228902575,0.661332053028015,1.49944031987806
"Cecidomyiidae sp. BOLD:ACI2971",-0.100174482103263,0.358024491606108,-0.871288120741759,-0.0754391697578453,0.697021854197939,1.5683099749397
"Cecidomyiidae sp. BOLD:ACI6840",0.153818948175409,0.377554971394743,-0.651054010338809,0.150957056441149,0.867845518814698,1.51889952915351
"Cecidomyiidae sp. BOLD:ACK3029",-0.101123355086554,0.333690734829077,-0.826679713922042,-0.0730028750050301,0.613925350930214,1.44060506485226
"Cecidomyiidae sp. BOLD:ACM9927",0.111363294747806,0.345917657103348,-0.650574198082954,0.0843649668050861,0.821823737837334,1.47239793592029
"Cecidomyiidae sp. BOLD:ACZ4244",0.0827018500697617,0.358680616771973,-0.686753236091388,0.0638548743366316,0.809396537044203,1.49614977313559
"Cecidomyiidae sp. BOLD:ADM5490",0.0743579874529312,0.353529419269827,-0.727191060556283,0.063577124112875,0.790877810520361,1.51806887107664
"Cecidomyiidae sp. SlikokOtu1169",-0.097321158612518,0.356579678050619,-0.80785568064722,-0.0815208790797008,0.684436279583908,1.49229196023113
"Cecidomyiidae sp. SlikokOtu196",-0.106668996698743,0.350989674537807,-0.827170127907745,-0.0792320833684486,0.656678204105525,1.48384833201327
"Cephalops sp. BOLD:AAG1658",0.0869512251437291,0.35264079287414,-0.69471177702511,0.0707006415038022,0.811474950917218,1.50618672794233
"Cepheus sp. BOLD:AAD2517",0.0422294096835419,0.332477680418423,-0.727887789663641,0.0355108380551141,0.791290659892122,1.51917844955576
"Ceraticelus fissiceps",-0.12347319354761,0.302094328821289,-0.703677177204803,-0.10358591661166,0.467476219267668,1.17115339647247
"Ceratopogonidae sp. BOLD:ACY4529",-0.0703592774562385,0.345530448863146,-0.803539776361556,-0.0588359906248256,0.715855989745135,1.51939576610669
"Chaitophorus neglectus",-0.100117503352237,0.343911764158851,-0.814746903985726,-0.0742933976156528,0.641917743956366,1.45666464794209
"Chaitophorus populifolii",0.113067465440807,0.371987862469486,-0.703100571212294,0.0935506142970598,0.847226599606464,1.55032717081876
"Chalarus decorus",0.135325605596364,0.359094647315406,-0.637059169166289,0.136555341574433,0.792896571076911,1.4299557402432
"Chalarus sp. BOLD:ACK3338",0.0332155317398468,0.363168333692223,-0.757928814039139,0.0330832662596968,0.762769775024015,1.52069858906315
"Chamaemyia geniculata",-0.0820602393567194,0.347592152207216,-0.821779401877504,-0.069463992573168,0.709145028948535,1.53092443082604
"Chamaemyia paludosa",-0.0949337998521171,0.361910709716155,-0.851661712177074,-0.0715250231257811,0.691988634532548,1.54365034670962
"Chironomidae sp. BOLD:AAM6264",0.250017649691024,0.304853642740895,-0.45028289961288,0.267287018228554,0.823186773529165,1.27346967314205
"Chironomidae sp. BOLD:AAN5352",0.0900455667115229,0.357364412454151,-0.670268197679934,0.0697040806647791,0.862236719552156,1.53250491723209
"Chironomidae sp. BOLD:ACU6068",0.113504473984105,0.353480863613617,-0.657678406350229,0.0880954363465551,0.831845697441534,1.48952410379176
"Chironomidae sp. BOLD:ADD0660",-0.0959259037038738,0.350133118694906,-0.82539113632088,-0.0777890036140555,0.659192538321566,1.48458367464245
"Chironomidae sp. BOLD:ADR7982",-0.107054119040715,0.365829148965227,-0.833140685222208,-0.08071805594253,0.703316830826336,1.53645751604854
"Chironomidae sp. SlikokOtu1314",0.123407703333196,0.351750904403649,-0.679725951088284,0.100478461328763,0.835110666331652,1.51483661741994
"Chironomidae sp. SlikokOtu1335",0.0879512990721056,0.349595305530127,-0.676848867171582,0.0642199660290393,0.816006899614162,1.49285576678574
"Chironomidae sp. SlikokOtu2161",0.00128915803846308,0.362084751334972,-0.756445657818534,-0.0159224575597774,0.819587006709399,1.57603266452793
"Chironomidae sp. SlikokOtu270",0.0982480179803227,0.353222502075374,-0.681135225653131,0.0683981803276694,0.84981814030963,1.53095336596276
"Chironominae sp. BOLD:AAL7346",-0.0952398793054799,0.349008079510484,-0.797446751481971,-0.0951445588901425,0.709260587695142,1.50670733917711
"Chironominae sp. BOLD:ACC3042",-0.0487472614434722,0.323990026124838,-0.793276086874712,-0.0294175585415756,0.670870413332715,1.46414650020743
"Chironominae sp. BOLD:ACC9013",-0.0763515412811712,0.24822943228052,-0.717402770218919,0.0015452112632036,0.252631271474946,0.970034041693864
"Chironominae sp. BOLD:ACI3437",0.0735852989522065,0.371180582317989,-0.717238980485593,0.0582463219194524,0.843177668089251,1.56041664857484
"Chironomus maturus",-0.0809208678318172,0.34628625863575,-0.794098252313717,-0.0602731485046263,0.695818261280182,1.4899165135939
"Chironomus sp. BOLD:AAC0594",-0.0124124499897541,0.355724933757318,-0.734053559533439,-0.00782032880497505,0.734678252796239,1.46873181232968
"Chironomus sp. BOLD:AAL7315",-0.115700029738042,0.349705002846981,-0.832762163826456,-0.106884721121614,0.638300851599495,1.47106301542595
"Chironomus sp. BOLD:AAZ0144",-0.02897911228252,0.341758097426316,-0.776167112638919,-0.0291946257577939,0.748772462282277,1.5249395749212
"Chironomus sp. BOLD:ACM6478",0.0436055392449823,0.359424622582463,-0.790834888835541,0.0343054998677062,0.814689949353008,1.60552483818855
"Chironomus sp. SlikokOtu861",0.0422161209440743,0.328572299598638,-0.688809114661002,0.0335663652247912,0.797319855297139,1.48612896995814
"Chlamydatus pulicarius",0.0222650636784341,0.348378636639902,-0.770025924154922,0.0269415558683666,0.795656842187038,1.56568276634196
"Chlorops sp. TAW4",0.045591128092495,0.347870858775539,-0.758477118893421,0.0376204348786319,0.784403951986237,1.54288107087966
"Choeras sp. jft31",0.0162788744189403,0.354183994000234,-0.760151725199071,0.0204832423600918,0.80842314794944,1.56857487314851
"Cicadellidae sp. BOLD:ACV3364",0.00267277813053883,0.355809259136943,-0.76066057542717,0.00578852078029725,0.756196741280008,1.51685731670718
"Cicadellidae sp. nr. Ophiola decumana",0.141508554606326,0.36419925450185,-0.604480609236273,0.146749748024673,0.817204178066422,1.42168478730269
"Cicadellidae sp. SlikokOtu2257",0.105256041071562,0.365749575056638,-0.7036185771329,0.0856558578809549,0.844572223406824,1.54819080053972
"Cicadellidae sp. SlikokOtu2259",0.0885476911034365,0.353393700076645,-0.710191408475157,0.0780487721232175,0.794764891281286,1.50495629975644
"Cicadellidae sp. SlikokOtu2268",0.0937616970363904,0.356085121189308,-0.709009975952877,0.0721016198792692,0.820137027538945,1.52914700349182
"Cicadellidae sp. SlikokOtu2269",0.104891261119498,0.364035562674166,-0.700985162633663,0.0746037561693789,0.844756193578005,1.54574135621167
"Cicadellidae sp. SlikokOtu2339",0.0968478584151547,0.345285897421871,-0.666504334456151,0.0751112095077291,0.835566627851603,1.50207096230775
"Cicadula intermedia",0.0175086102887769,0.371740988037214,-0.767853184642321,0.0101573035851379,0.782856677099381,1.5507098617417
"Cicadula sp. BOLD:ACI5705",0.166925911154399,0.356466721807241,-0.598054660131899,0.154088451332068,0.835451532905658,1.43350619303756
"Cicadula sp. SlikokOtu2252",0.121891424028101,0.357375214268716,-0.649342524549723,0.0855519106466445,0.850430834573733,1.49977335912346
"Cicadula sp. SlikokOtu2260",0.116111727579347,0.367394923883121,-0.695702517676169,0.0867499582802967,0.842918212526578,1.53862073020275
"Cicadula subcupraea",0.0294198137743692,0.347531121002269,-0.717632764627415,0.0262199973419914,0.805334515207383,1.5229672798348
"Cinara fornacula",-0.162037039537864,0.295523644607145,-0.789785709939787,-0.0960071929558699,0.364650135171777,1.15443584511156
"Cinara mariana",-0.168586677135862,0.327326988870389,-0.755124872509363,-0.178214047678382,0.524582149815638,1.279707022325
"Cinara nimbata",-0.125694152996652,0.334497717869846,-0.81901584742296,-0.11663992953864,0.627670971503688,1.44668681892665
"Cinara obscura",-0.0243703589706303,0.343266727390963,-0.781908144798466,-0.0209986967667701,0.746599631410388,1.52850777620885
"Cinara pruinosa",-0.18159955717283,0.284439391582515,-0.835870222399192,-0.115433458411672,0.33011335374367,1.16598357614286
"Cinara sp. CHR155",-0.1039542102173,0.363108412670593,-0.826948855483779,-0.0899074501853948,0.708020719551036,1.53496957503482
"Cinara sp. SlikokOtu1765",0.130392641402819,0.34050420133058,-0.590963309564082,0.0979987244938997,0.835164433334301,1.42612774289838
"Cinara sp. SlikokOtu2233",0.089304129957503,0.350526448735777,-0.7260515027528,0.0720149758425369,0.817952074504558,1.54400357725736
"Cixius meridionalis",0.0957113532447407,0.284543673769348,-0.614984802886488,0.140517755340846,0.639038191887533,1.25402299477402
"Cladara limitaria",-0.155780394759067,0.363515234381783,-0.846708848554951,-0.147521207012997,0.665633258408728,1.51234210696368
"Claustropyga acanthostyla",0.0142946149444876,0.336103301809163,-0.748093759416607,0.0245948585960262,0.746907061338232,1.49500082075484
"Clinohelea sp. BOLD:AAG6451",-0.0128530673973911,0.334323761449987,-0.735120264849207,-0.0212746686840855,0.763418931853255,1.49853919670246
"Clubiona furcata",0.112811460750483,0.339311050480633,-0.642020737789183,0.080736791039438,0.842116083865968,1.48413682165515
"Clubiona kulczynskii",-0.0856642249070684,0.357027236726565,-0.814352837196014,-0.0571130288762281,0.663680767498184,1.4780336046942
"Clubiona riparia",-0.110690573021938,0.349905825454261,-0.844543649811675,-0.0854530172118423,0.672653552664164,1.51719720247584
"Clusiodes melanostomus",-0.0885901217021014,0.364523991347388,-0.852838617590271,-0.0684843821122764,0.731402461382233,1.5842410789725
"Coelosia gracilis",0.0531729628295612,0.337254595118319,-0.698836070639553,0.0806543358449326,0.749285493702111,1.44812156434166
"Coenosia campestris",0.265558272208736,0.32631450879846,-0.457421426498783,0.243896440439531,0.867779977198775,1.32520140369756
"Coenosia conforma",0.221295399259246,0.329090561002742,-0.571898114167254,0.219435992440125,0.87399046900013,1.44588858316738
"Coenosia impunctata",0.280228977348973,0.332662099258483,-0.452861579340595,0.27187564672587,0.870489841892467,1.32335142123306
"Coenosia mollicula",0.132046433320304,0.364948261830851,-0.683092069673742,0.112527559514368,0.851235913173563,1.5343279828473
